"scientificName","mean_wgt","sd_to_use","nind","log_var_est","var_est","sd_estimated"
"DM",43.9325861217785,6.89211918397585,984,4.0549566271487,57.6826610804244,FALSE
"DO",47.2072165078065,8.02181418118849,155,4.21666750715172,67.8071405435109,FALSE
"DS",114.596183736,24.0837891766485,300,6.21159403523112,498.495237268622,FALSE
"PB",31.3275038983002,7.03628611684754,553,3.29429737403716,26.9584656959532,FALSE
"PE",21.9275038124096,3.79596074218022,83,2.49181083566438,12.0831368965645,FALSE
"PF",7,0.949716159867634,52,-0.0766331789849666,0.926229551762807,FALSE
"PI",15.6666666666667,1.15470053837925,3,1.73554574804906,5.67202245446714,FALSE
"PM",26.5,3.3166247903554,4,2.91785528511831,18.5015642972617,FALSE
"PP",16.5955401852196,3.32568189153541,387,1.86510863119762,6.45663724013206,FALSE
"RM",10.5555555555556,2.24179415327122,27,0.847293144955482,2.33332233068526,FALSE
"RO",12,1.76454819247667,1,1.13578935203351,3.11363032357268,TRUE
